,,MIMAT0019932,MIMAT0005943,MIMAT0027618,,,,,https://www.ncbi.nlm.nih.gov/geo/browse/?view=samples&series=59856
S068,Healthy,3.696,3.257,3.607,,,,,
S069,Healthy,3.56,2.612,3.365,,,,,
S070,Healthy,3.976,3.567,3.448,,,,,
S071,Healthy,4.43,3.869,2.612,,,,,
S072,Healthy,3.643,3.474,3.354,,,,,
S073,Healthy,4.091,3.765,4.26,,,,,
S074,Healthy,4.024,3.116,3.642,,,,,
S075,Healthy,4.047,4.073,2.612,,,,,
S076,Healthy,4.237,2.612,4.233,,,,,
S077,Healthy,3.17,3.147,3.654,,,,,
S079,Healthy,4.518,3.667,3.375,,,,,
S080,Healthy,4.216,3.615,3.793,,,,,
S081,Healthy,3.998,2.612,3.423,,,,,
S082,Healthy,3.998,3.506,3.822,,,,,
S083,Healthy,4.528,3.844,3.607,,,,,
S084,Healthy,5.063,2.612,5.408,,,,,
S085,Healthy,4.569,2.612,3.907,,,,,
S086,Healthy,3.59,3.253,3.422,,,,,
S087,Healthy,4.415,3.437,3.567,,,,,
S088,Healthy,3.861,3.441,4.006,,,,,
S089,Healthy,6.079,2.612,2.612,,,,,
S090,Healthy,4.095,3.257,3.043,,,,,
S091,Healthy,2.612,2.612,3.415,,,,,
S092,Healthy,3.367,2.644,2.719,,,,,
S093,Healthy,3.691,3.798,4.479,,,,,
HC01,Liver Cancer,2.612,2.612,2.612,,,,,
HC02,Liver Cancer,2.612,2.612,2.612,,,,,
HC03,Liver Cancer,2.613,2.613,2.613,,,,,
HC04,Liver Cancer,2.612,2.612,2.612,,,,,
HC05,Liver Cancer,2.612,2.612,2.612,,,,,
HC06,Liver Cancer,2.612,2.612,2.612,,,,,
HC07,Liver Cancer,2.612,2.612,2.612,,,,,
HC08,Liver Cancer,2.612,2.612,2.612,,,,,
HC09,Liver Cancer,2.612,2.612,2.612,,,,,
HC10,Liver Cancer,2.613,2.613,2.613,,,,,
HC11,Liver Cancer,2.612,2.612,2.612,,,,,
HC12,Liver Cancer,2.612,2.612,2.612,,,,,
HC13,Liver Cancer,2.612,2.612,2.612,,,,,
HC14,Liver Cancer,2.612,2.612,2.612,,,,,
HC15,Liver Cancer,2.612,2.612,2.612,,,,,
HC16,Liver Cancer,2.613,2.613,2.613,,,,,
HC17,Liver Cancer,2.613,2.613,2.613,,,,,
HC18,Liver Cancer,2.612,2.612,2.612,,,,,
HC19,Liver Cancer,2.613,2.613,2.613,,,,,
HC20,Liver Cancer,2.612,2.612,2.612,,,,,
HC21,Liver Cancer,3.081,3.223,2.612,,,,,
HC22,Liver Cancer,2.612,2.612,2.612,,,,,
HC23,Liver Cancer,3.096,2.612,2.612,,,,,
HC24,Liver Cancer,2.612,2.612,2.612,,,,,
HC25,Liver Cancer,2.612,2.612,2.612,,,,,
HC26,Liver Cancer,2.612,2.612,2.612,,,,,
HC27,Liver Cancer,2.612,2.612,2.612,,,,,
HC28,Liver Cancer,2.612,2.612,2.612,,,,,
HC29,Liver Cancer,2.612,2.612,2.612,,,,,
HC30,Liver Cancer,2.612,2.612,2.612,,,,,
